S2 Cell,state_name,county_name,Waymo RO Miles
9260949341382639616,California,San Francisco,461117.0816963517
9260949375742377984,California,San Francisco,1494703.9059492843
9260949410102116352,California,San Francisco,12596.804323233513
9260949444461854720,California,San Francisco,477918.6877173543
9260949478821593088,California,San Francisco,1438498.864368424
9260949513181331456,California,San Francisco,1581341.527754788
9260949547541069824,California,San Francisco,2225951.373621335
9260949581900808192,California,San Francisco,2891180.5655865665
9260949616260546560,California,San Francisco,2479887.7192492005
9260949650620284928,California,San Francisco,1362237.6679033872
9260949684980023296,California,San Francisco,1354630.6787756835
9260949719339761664,California,San Francisco,1079318.7901403834
9260949753699500032,California,San Francisco,1652798.9352881794
9260949788059238400,California,San Francisco,1900069.6262375019
9260949822418976768,California,San Francisco,1537306.6762641594
9260949856778715136,California,San Francisco,782915.5756699741
9260949891138453504,California,San Francisco,1075545.3867362633
9260949925498191872,California,San Francisco,1293343.7236331312
9260949959857930240,California,San Francisco,2059510.2413046598
9260949994217668608,California,San Francisco,1528652.3080121481
9260950028577406976,California,San Francisco,601906.3410545671
9260950234735837184,California,San Francisco,144798.55880420798
9260956453848481792,California,San Francisco,224029.12977188503
9260956488208220160,California,San Francisco,311993.6328688009
9260956660006912000,California,San Francisco,274715.5596120932
9260956694366650368,California,San Francisco,356577.42960150796
9260956728726388736,California,San Francisco,424972.0297582562
9260956763086127104,California,San Francisco,118938.69002410265
9260956797445865472,California,San Francisco,127848.42971757188
9260956831805603840,California,San Francisco,354918.62098198844
9260956866165342208,California,San Francisco,944501.8271512066
9260956900525080576,California,San Francisco,644282.4797078753
9260956934884818944,California,San Francisco,429107.61633384123
9260956969244557312,California,San Francisco,1212377.46769256
9260957003604295680,California,San Francisco,862198.0639875045
9260957037964034048,California,San Francisco,858410.1044495631
9260957072323772416,California,San Francisco,427727.7386247596
9260957106683510784,California,San Francisco,893062.397747576
9260957141043249152,California,San Francisco,285743.2983729308
9260957175402987520,California,San Francisco,183753.67907939552
9260957209762725888,California,San Francisco,161792.56342725357
9260957244122464256,California,San Francisco,60471.21953139321
9260957278482202624,California,San Francisco,104043.06676724645
9260957312841940992,California,San Francisco,272347.87611327216
9260957347201679360,California,San Francisco,219925.94584107448
9260957381561417728,California,San Francisco,142318.25198720826
9260957415921156096,California,San Francisco,77582.87860036448
9260957450280894464,California,San Francisco,83677.26394769968
9263395892193394688,California,Santa Clara,7.669469616051042
9263396682467377152,California,Santa Clara,37.436080359602116
9263396785546592256,California,Santa Clara,7.4373464200073895
9263397300942667776,California,Santa Clara,1.2101283924554076
9263397335302406144,California,Santa Clara,15.187281114285062
9263397369662144512,California,Santa Clara,180.02209490125207
9263397404021882880,California,Santa Clara,57.18931658335375
9263397610180313088,California,Santa Clara,234.35565276020006
9263397644540051456,California,Santa Clara,390.9904293264924
9263397713259528192,California,Santa Clara,165.67356984361393
9263397747619266560,California,Santa Clara,910.4842157235857
9263397781979004928,California,Santa Clara,1245.1712349817883
9263397816338743296,California,Santa Clara,417.336510219614
9263397850698481664,California,Santa Clara,611.2467944006289
9263397885058220032,California,Santa Clara,1102.7989817750374
9263397919417958400,California,Santa Clara,730.1681366184285
9263397953777696768,California,Santa Clara,595.5812024386473
9263397988137435136,California,Santa Clara,248.94670903740706
9263398022497173504,California,Santa Clara,298.2984706366713
9263398056856911872,California,Santa Clara,464.85535465162593
9263398091216650240,California,Santa Clara,286.8010171268991
9263398125576388608,California,Santa Clara,640.580475715482
9263398194295865344,California,Santa Clara,105.88460758777404
9263398228655603712,California,Santa Clara,674.0463741676838
9263398263015342080,California,Santa Clara,103.37046793951136
9263398297375080448,California,Santa Clara,6.78933541903481
9263398331734818816,California,Santa Clara,57.45217963189727
9263398366094557184,California,Santa Clara,439.53689575688173
9263398400454295552,California,Santa Clara,289.2776039923101
9263398434814033920,California,Santa Clara,259.9784501781622
9263398469173772288,California,Santa Clara,152.9863269302783
9263398503533510656,California,Santa Clara,128.91469699121168
9263398537893249024,California,Santa Clara,47.311268814213115
9263398572252987392,California,Santa Clara,97.7603325430607
9263398606612725760,California,Santa Clara,176.97795882702107
9263398640972464128,California,Santa Clara,57.191459808555926
9263398709691940864,California,Santa Clara,81.18845961387267
9263398744051679232,California,Santa Clara,26.865607243089695
9263398915850371072,California,Santa Clara,6.109218398710194
9263398950210109440,California,Santa Clara,80.89314963842546
9263398984569847808,California,Santa Clara,57.39574606128016
9263399018929586176,California,Santa Clara,529.443773916056
9263399053289324544,California,Santa Clara,611.0418912345228
9263399087649062912,California,Santa Clara,352.314949502409
9263399122008801280,California,Santa Clara,319.4046536748392
9263399190728278016,California,Santa Clara,675.2985981445619
9263399225088016384,California,Santa Clara,281.88941714697467
9263399259447754752,California,Santa Clara,193.40213433501228
9263399328167231488,California,Santa Clara,314.823560073094
9263399362526969856,California,Santa Clara,333.62111329555995
9263399396886708224,California,Santa Clara,436.66269516104217
9263399431246446592,California,Santa Clara,732.8362765163056
9263399465606184960,California,Santa Clara,1040.9806365540946
9263399499965923328,California,Santa Clara,754.3921336955183
9263399534325661696,California,Santa Clara,144.75492097521385
