operator_tcpid,program,calendar_year,calendar_month,total_trips,total_waiting_hours,total_vmt_period1,total_vmt_period2,total_vmt_period3,total_vmt_zev,total_passengers_carried,total_passenger_miles_traveled,total_wavs_available,total_wavs_requested,total_wavs_declined_unavailable,total_wavs_fulfilled,total_vmt_all_periods
PSG0038152,unspecified,2022,3,3753.0,78240.0,289437.3473,6020.498509,11552.29953,307010.1453,4184.0,12789.58473,0.0,0.0,0.0,0.0,307010.14533900004
PSG0038152,unspecified,2022,4,3706.0,61593.0,261958.3091,5698.244,11471.0554,279127.6085,4246.0,13030.03916,0.0,0.0,0.0,0.0,279127.60850000003
PSG0038152,unspecified,2022,5,4118.0,74349.0,255716.1608,6476.584912,12494.34785,274687.0936,4901.0,14851.20216,0.0,0.0,0.0,0.0,274687.093562
PSG0038152,unspecified,2022,6,2874.0,68770.0,246630.4093,3899.958791,8778.119851,259308.488,3509.0,10924.25,0.0,0.0,0.0,0.0,259308.487942
PSG0038152,unspecified,2022,7,2970.0,76114.0,249465.8655,3953.459485,8848.804996,262268.13,3627.0,10764.0403,0.0,0.0,0.0,0.0,262268.12998100003
PSG0038152,unspecified,2022,8,2473.0,65107.0,177826.2701,3767.668973,7428.684912,189022.624,3036.0,9108.513004,0.0,0.0,0.0,0.0,189022.62398499998
PSG0038152,unspecified,2022,9,2122.0,45863.0,132490.6291,3490.032187,6400.266801,142380.9281,2623.0,7863.874674,0.0,0.0,0.0,0.0,142380.928088
PSG0038152,unspecified,2022,10,2251.0,67319.0,127447.1165,3670.355585,6674.40254,137791.8747,2916.0,8573.240024,0.0,0.0,0.0,0.0,137791.874625
PSG0038152,unspecified,2022,11,1940.0,59090.0,121784.2248,3128.777492,5621.806882,130534.8092,2424.0,7010.928716,0.0,0.0,0.0,0.0,130534.809174
PSG0038152,unspecified,2022,12,2125.0,47558.0,128624.62,3217.16,6042.13,137883.91,2741.0,7712.84,0.0,0.0,0.0,0.0,137883.91
PSG0038152,unspecified,2023,1,1995.0,38141.0,100321.74,3289.94,5539.45,109151.12,2556.0,7070.28,0.0,0.0,0.0,0.0,109151.13
PSG0038152,unspecified,2023,2,1356.0,25361.0,84787.75,2283.05,3710.77,90781.58,1775.0,4781.87,0.0,0.0,0.0,0.0,90781.57
PSG0038152,unspecified,2023,3,960.0,18273.0,69521.41,1595.19,2678.75,73795.35,1176.0,3270.21,0.0,0.0,0.0,0.0,73795.35
PSG0038152,unspecified,2023,4,1267.0,23263.0,95904.34,1957.33,3606.61,101468.29,1546.0,4392.37,0.0,0.0,0.0,0.0,101468.28
PSG0038152,unspecified,2023,5,1154.0,27212.0,117660.42,1718.19,2915.45,122294.05,1423.0,3569.88,0.0,0.0,0.0,0.0,122294.06
PSG0039080,driverless,2023,12,,,,,,,,,,,,,
PSG0039080,driverless,2024,1,,,,,,,,,,,,,
PSG0039080,driverless,2024,2,,,,,,,,,,,,,
PSG0039080,unspecified,2022,6,84.0,63.77,727.44,72.76,152.41,952.62,145.0,273.45,0.0,0.0,0.0,0.0,952.61
PSG0039080,unspecified,2022,7,224.0,110.57,1226.79,227.61,631.26,2085.67,418.0,1174.54,0.0,1.0,0.0,0.0,2085.66
PSG0039080,unspecified,2022,8,416.0,189.68,2122.3,565.09,1023.14,3710.54,728.0,1977.24,0.0,0.0,0.0,0.0,3710.53
PSG0039080,unspecified,2022,9,632.0,347.31,3631.29,637.45,1638.42,5907.16,1186.0,3057.48,0.0,3.0,0.0,0.0,5907.16
PSG0039080,unspecified,2022,10,905.0,442.95,4683.72,817.89,2342.25,7843.86,1727.0,4369.87,0.0,7.0,0.0,0.0,7843.860000000001
PSG0039080,unspecified,2022,11,1246.0,813.39,8938.76,988.33,3160.5,13087.59,2363.0,5977.99,0.0,11.0,0.0,0.0,13087.59
PSG0039080,unspecified,2022,12,1755.0,1191.15,12637.06,1313.88,4164.03,18114.9,3162.0,7486.27,0.0,7.0,0.0,0.0,18114.97
PSG0039080,unspecified,2023,1,2562.0,1345.55,14365.6,2338.1,6351.41,23055.05,4762.0,11762.67,0.0,10.0,0.0,0.0,23055.11
PSG0039080,unspecified,2023,2,1680.0,549.13,6199.5,2139.15,4187.23,12525.74,3170.0,7951.78,0.0,6.0,0.0,0.0,12525.88
PSG0039080,unspecified,2023,3,2523.0,884.72,9216.13,2853.02,5840.26,17909.41,4867.0,10953.79,0.0,7.0,0.0,0.0,17909.41
PSG0039080,unspecified,2023,4,2937.0,1228.3,13315.65,3217.56,6496.42,23029.63,5269.0,11722.9,0.0,16.0,0.0,0.0,23029.63
PSG0039080,unspecified,2023,5,3073.0,1364.18,14743.0,3569.58,6933.66,25246.24,5666.0,12719.29,0.0,8.0,0.0,0.0,25246.239999999998
PSG0039080,unspecified,2023,6,2294.0,1068.9,11907.52,2903.34,5582.37,20393.57,4304.0,10402.78,0.0,0.0,0.0,0.0,20393.23
PSG0039080,unspecified,2023,7,1865.0,871.18,9685.78,2313.09,4346.62,16345.0,3536.0,8316.18,0.0,4.0,0.0,0.0,16345.490000000002
PSG0039080,unspecified,2023,8,9853.0,3295.37,37675.08,11589.08,26550.04,75814.19,16954.0,44942.05,0.0,26.0,0.0,0.0,75814.2
PSG0039080,unspecified,2023,9,10680.0,2558.09,30783.43,18417.8,31657.21,80858.05,17718.0,51534.39,0.0,24.0,0.0,0.0,80858.44
PSG0039080,unspecified,2023,10,10378.0,2818.45,34605.84,14080.12,30066.14,78752.35,17064.0,48657.58,0.0,21.0,0.0,0.0,78752.09999999999
PSG0039080,unspecified,2023,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSG0039080,unspecified,2024,3,,,,,,,,,,,,,
PSG0039080,unspecified,2024,4,,,,,,,,,,,,,
PSG0039080,unspecified,2024,5,,,,,,,,,,,,,
PSG0039080,unspecified,2024,6,,,,,,,,,,,,,
PSG0039080,unspecified,2024,7,,,,,,,,,,,,,
PSG0039080,unspecified,2024,8,,,,,,,,,,,,,
