vintage_end,vintage_start,cell_count,cumulative_miles,incremental_miles_vs_prior_release,negative_revision_cells
202407,202009,945,25280185.5,25280185.5,0
202409,202009,964,32979452.3,7699266.8,0
202412,202009,987,49448610.0,16472834.0,0
202503,202009,1090,71432301.3,21983903.5,0
202506,202009,1148,95965170.8,24533923.2,0
202509,202009,1272,127157594.3,31191507.4,0
202512,202009,1842,170712345.1,43574210.4,15
202603,202009,2079,218821152.7,48049807.8,14
202606,202009,2209,268488633.8,49667481.1,11
