state,county,s2_cell,waymo_ro_miles,incremental_miles,vintage_end,exposure_phase,geometry_geojson
Arizona,Maricopa,9739878636298698752,3827.9397140854126,656.087,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.23629094022619],[-111.86878249373518,33.22559878043331],[-111.85685855297612,33.227791798472666],[-111.85685855297612,33.23848431480166],[-111.86878249373518,33.23629094022619]]]}"
Arizona,Maricopa,9739878670658437120,15612.458398021567,2720.061,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.24698196347811],[-111.86878249373518,33.23629094022619],[-111.85685855297612,33.23848431480166],[-111.85685855297612,33.24917569424628],[-111.86878249373518,33.24698196347811]]]}"
Arizona,Maricopa,9739878705018175488,6015.750415564038,1186.705,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.244786990458216],[-111.88070640336356,33.23409632366344],[-111.86878249373518,33.23629094022619],[-111.86878249373518,33.24698196347811],[-111.88070640336356,33.244786990458216]]]}"
Arizona,Maricopa,9739878739377913856,2.5653741773799736,0.317,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.23409632366344],[-111.88070640336356,33.22340452067127],[-111.86878249373518,33.22559878043331],[-111.86878249373518,33.23629094022619],[-111.88070640336356,33.23409632366344]]]}"
Arizona,Maricopa,9739878911176605696,14392.68033046282,3048.569,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.89263028034495,33.25327994874738],[-111.89263028034495,33.2425907753975],[-111.88070640336356,33.244786990458216],[-111.88070640336356,33.25547652018602],[-111.89263028034495,33.25327994874738]]]}"
Arizona,Maricopa,9739879014255820800,24807.10481232856,4417.452,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.89263028034495,33.26396798450504],[-111.89263028034495,33.25327994874738],[-111.88070640336356,33.25547652018602],[-111.88070640336356,33.266164911977896],[-111.89263028034495,33.26396798450504]]]}"
Arizona,Maricopa,9739879048615559168,21681.489396123376,3023.939,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.266164911977896],[-111.88070640336356,33.25547652018602],[-111.86878249373518,33.25767184931951],[-111.86878249373518,33.26836059688144],[-111.88070640336356,33.266164911977896]]]}"
Arizona,Maricopa,9739879082975297536,8169.834487084227,1506.436,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.25547652018602],[-111.88070640336356,33.244786990458216],[-111.86878249373518,33.24698196347811],[-111.86878249373518,33.25767184931951],[-111.88070640336356,33.25547652018602]]]}"
Arizona,Maricopa,9739879117335035904,30529.87498328518,4675.645,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.25767184931951],[-111.86878249373518,33.24698196347811],[-111.85685855297612,33.24917569424628],[-111.85685855297612,33.25986593593701],[-111.86878249373518,33.25767184931951]]]}"
Arizona,Maricopa,9739879151694774272,56048.87659904863,8123.804,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.26836059688144],[-111.86878249373518,33.25767184931951],[-111.85685855297612,33.25986593593701],[-111.85685855297612,33.27055503900491],[-111.86878249373518,33.26836059688144]]]}"
Arizona,Maricopa,9739879186054512640,69433.74000479846,9768.16,202603,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.27904820529565],[-111.86878249373518,33.26836059688144],[-111.85685855297612,33.27055503900491],[-111.85685855297612,33.281243002581746],[-111.86878249373518,33.27904820529565]]]}"
