id,source_id,market,state,reported_date,month,reporter_type,issue,operator,source_url
ATX-307,307,Austin,TX,2026-06-13,2026-06,AFD,Safety Concern,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/307
ATX-299,299,Austin,TX,2026-06-14,2026-06,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/299
ATX-308,308,Austin,TX,2026-06-19,2026-06,City Employee,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/308
ATX-315,315,Austin,TX,2026-06-19,2026-06,AFD,Collision,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/315
ATX-313,313,Austin,TX,2026-06-22,2026-06,Resident Feedback,Near Miss,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/313
ATX-314,314,Austin,TX,2026-06-23,2026-06,APD,Ignore APD Direction,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/314
ATX-318,318,Austin,TX,2026-06-24,2026-06,Resident Feedback,Nuisance,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/318
ATX-316,316,Austin,TX,2026-06-30,2026-06,APD,Ignore APD Direction,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/316
ATX-321,321,Austin,TX,2026-07-11,2026-07,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/321
ATX-320,320,Austin,TX,2026-07-23,2026-07,City Employee,Near Miss,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/320
ATX-332,332,Austin,TX,2026-07-23,2026-07,APD,Blocking Traffic,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/332
