state,county,s2_cell,waymo_ro_miles,incremental_miles,vintage_end,exposure_phase,geometry_geojson
,AUSTIN,9675055279015723008,4.123421156073809,1.572,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.74167025909962,30.207140781206956],[-97.74167025909962,30.195669447897057],[-97.73080697363837,30.196310984521308],[-97.73080697363837,30.20778246376059],[-97.74167025909962,30.207140781206956]]]}"
,AUSTIN,9675055313375461376,4902.118511540491,2028.245,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.73080697363837,30.20778246376059],[-97.73080697363837,30.196310984521308],[-97.71994536457991,30.196951518630314],[-97.71994536457991,30.208423143565195],[-97.73080697363837,30.20778246376059]]]}"
,AUSTIN,9675055347735199744,1.0191441047200376,1.019,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.73080697363837,30.196310984521308],[-97.73080697363837,30.184838517271555],[-97.71994536457991,30.1854789055697],[-97.71994536457991,30.196951518630314],[-97.73080697363837,30.196310984521308]]]}"
,AUSTIN,9675055382094938112,0.04276626270502243,0.043,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.74167025909962,30.195669447897057],[-97.74167025909962,30.184197126692126],[-97.73080697363837,30.184838517271555],[-97.73080697363837,30.196310984521308],[-97.74167025909962,30.195669447897057]]]}"
,AUSTIN,9675055760052060160,66195.65686059083,27997.974,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.71994536457991,30.208423143565195],[-97.71994536457991,30.196951518630314],[-97.70908543300678,30.197591050590635],[-97.70908543300678,30.20906282098744],[-97.71994536457991,30.208423143565195]]]}"
,AUSTIN,9675055828771536896,13997.191219504706,4762.796,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.70908543300678,30.220533601980172],[-97.70908543300678,30.20906282098744],[-97.69822718000074,30.20970149639428],[-97.69822718000074,30.221172422500445],[-97.70908543300678,30.220533601980172]]]}"
,AUSTIN,9675055863131275264,67512.05219150553,35829.192,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.71994536457991,30.2198937792111],[-97.71994536457991,30.208423143565195],[-97.70908543300678,30.20906282098744],[-97.70908543300678,30.220533601980172],[-97.71994536457991,30.2198937792111]]]}"
,AUSTIN,9675055897491013632,26659.73103581594,10238.385,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.71994536457991,30.23136342440552],[-97.71994536457991,30.2198937792111],[-97.70908543300678,30.220533601980172],[-97.70908543300678,30.23200339240629],[-97.71994536457991,30.23136342440552]]]}"
,AUSTIN,9675055931850752000,38175.96990742444,13399.858,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.70908543300678,30.23200339240629],[-97.70908543300678,30.220533601980172],[-97.69822718000074,30.221172422500445],[-97.69822718000074,30.232642357925062],[-97.70908543300678,30.23200339240629]]]}"
,AUSTIN,9675056000570228736,12590.975421652589,6692.018,202506,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.70908543300678,30.25493999691198],[-97.70908543300678,30.243472191103944],[-97.69822718000074,30.244111301506265],[-97.69822718000074,30.25557925208289],[-97.70908543300678,30.25493999691198]]]}"
