state,waymo_ro_miles,hpms_benchmark_vmt,s2_cell_count,benchmark_crash_counts_by_outcome,implied_human_benchmark_rate_per_million_miles
California,149519112.8,12855391133.7,1102,"{""blincoe_any_injury"":22932.47,""blincoe"":53470.96,""police_reported"":27989.12,""observed_any_injury"":15682.11,""fatal"":204.06,""airbag"":9002.24,""ego_airbag"":9002.24,""ka"":1476.59}","{""blincoe_any_injury"":1.7839,""blincoe"":4.1594,""police_reported"":2.1772,""observed_any_injury"":1.2199,""fatal"":0.0159,""airbag"":0.7003,""ego_airbag"":0.7003,""ka"":0.1149}"
Arizona,92121323.8,7962036402.1,615,"{""blincoe"":91952.56,""airbag"":12255.42,""blincoe_any_injury"":17373.97,""police_reported"":41945.66,""fatal"":184.38,""ka"":908.49,""ego_airbag"":12255.42,""observed_any_injury"":11890.49}","{""blincoe"":11.5489,""airbag"":1.5392,""blincoe_any_injury"":2.1821,""police_reported"":5.2682,""fatal"":0.0232,""ka"":0.1141,""ego_airbag"":1.5392,""observed_any_injury"":1.4934}"
Texas,21064489.3,2200756116.0,268,"{""ego_airbag"":6615.61,""ka"":475.36,""fatal"":61.89,""blincoe"":28097.54,""observed_any_injury"":6591.39,""blincoe_any_injury"":9649.99,""police_reported"":14025.75,""airbag"":6615.61}","{""ego_airbag"":3.0061,""ka"":0.216,""fatal"":0.0281,""blincoe"":12.7672,""observed_any_injury"":2.9951,""blincoe_any_injury"":4.3849,""police_reported"":6.3731,""airbag"":3.0061}"
Georgia,5783708.0,1572715857.4,224,"{""ka"":821.64,""blincoe_any_injury"":26478.62,""airbag"":10992.87,""blincoe"":155978.04,""police_reported"":70248.74,""observed_any_injury"":18060.49,""ego_airbag"":10992.87,""fatal"":89.49}","{""ka"":0.5224,""blincoe_any_injury"":16.8362,""airbag"":6.9897,""blincoe"":99.1775,""police_reported"":44.6672,""observed_any_injury"":11.4836,""ego_airbag"":6.9897,""fatal"":0.0569}"
