state,county,s2_cell,waymo_ro_miles,incremental_miles,vintage_end,exposure_phase,geometry_geojson
Arizona,Maricopa,9739878636298698752,4708.438754135444,880.499,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.23629094022619],[-111.86878249373518,33.22559878043331],[-111.85685855297612,33.227791798472666],[-111.85685855297612,33.23848431480166],[-111.86878249373518,33.23629094022619]]]}"
Arizona,Maricopa,9739878670658437120,18746.287904637757,3133.83,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.24698196347811],[-111.86878249373518,33.23629094022619],[-111.85685855297612,33.23848431480166],[-111.85685855297612,33.24917569424628],[-111.86878249373518,33.24698196347811]]]}"
Arizona,Maricopa,9739878705018175488,7421.703713057985,1405.953,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.244786990458216],[-111.88070640336356,33.23409632366344],[-111.86878249373518,33.23629094022619],[-111.86878249373518,33.24698196347811],[-111.88070640336356,33.244786990458216]]]}"
Arizona,Maricopa,9739878739377913856,3.2309270282665734,0.666,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.23409632366344],[-111.88070640336356,33.22340452067127],[-111.86878249373518,33.22559878043331],[-111.86878249373518,33.23629094022619],[-111.88070640336356,33.23409632366344]]]}"
Arizona,Maricopa,9739878911176605696,18379.71611361106,3987.036,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.89263028034495,33.25327994874738],[-111.89263028034495,33.2425907753975],[-111.88070640336356,33.244786990458216],[-111.88070640336356,33.25547652018602],[-111.89263028034495,33.25327994874738]]]}"
Arizona,Maricopa,9739879014255820800,29799.561161310394,4992.456,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.89263028034495,33.26396798450504],[-111.89263028034495,33.25327994874738],[-111.88070640336356,33.25547652018602],[-111.88070640336356,33.266164911977896],[-111.89263028034495,33.26396798450504]]]}"
Arizona,Maricopa,9739879048615559168,24723.159172062093,3041.67,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.266164911977896],[-111.88070640336356,33.25547652018602],[-111.86878249373518,33.25767184931951],[-111.86878249373518,33.26836059688144],[-111.88070640336356,33.266164911977896]]]}"
Arizona,Maricopa,9739879082975297536,9868.503703601229,1698.669,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.88070640336356,33.25547652018602],[-111.88070640336356,33.244786990458216],[-111.86878249373518,33.24698196347811],[-111.86878249373518,33.25767184931951],[-111.88070640336356,33.25547652018602]]]}"
Arizona,Maricopa,9739879117335035904,35257.41553345016,4727.541,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.25767184931951],[-111.86878249373518,33.24698196347811],[-111.85685855297612,33.24917569424628],[-111.85685855297612,33.25986593593701],[-111.86878249373518,33.25767184931951]]]}"
Arizona,Maricopa,9739879151694774272,63701.41195359648,7652.535,202606,deployment,"{""type"":""Polygon"",""coordinates"":[[[-111.86878249373518,33.26836059688144],[-111.86878249373518,33.25767184931951],[-111.85685855297612,33.25986593593701],[-111.85685855297612,33.27055503900491],[-111.86878249373518,33.26836059688144]]]}"
