state,county,s2_cell,waymo_ro_miles,incremental_miles,vintage_end,exposure_phase,geometry_geojson
,AUSTIN,9675052805114560512,9.636481512251185,9.636,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.68737060664283,30.19886710953289],[-97.68737060664283,30.18739406044232],[-97.67651571401332,30.188030443282756],[-97.67651571401332,30.19950363724946],[-97.68737060664283,30.19886710953289]]]}"
,AUSTIN,9675052839474298880,26.725396896091045,26.725,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.68737060664283,30.210339170152974],[-97.68737060664283,30.19886710953289],[-97.67651571401332,30.19950363724946],[-97.67651571401332,30.210975842631118],[-97.68737060664283,30.210339170152974]]]}"
,AUSTIN,9675052908193775616,303.43887337308115,303.439,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.69822718000074,30.198229580769112],[-97.69822718000074,30.186756676788185],[-97.68737060664283,30.18739406044232],[-97.68737060664283,30.19886710953289],[-97.69822718000074,30.198229580769112]]]}"
,AUSTIN,9675054763619647488,1516.7351423055545,1516.735,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.75253521988041,30.18355473346533],[-97.75253521988041,30.172081571923766],[-97.74167025909962,30.17272381875606],[-97.74167025909962,30.184197126692126],[-97.75253521988041,30.18355473346533]]]}"
,AUSTIN,9675054797979385856,188.3000258365856,188.3,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.76340185489671,30.18291133722535],[-97.76340185489671,30.171438322312646],[-97.75253521988041,30.172081571923766],[-97.75253521988041,30.18355473346533],[-97.76340185489671,30.18291133722535]]]}"
,AUSTIN,9675054901058600960,1.6942217511477322,1.694,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.78514014329618,30.17014881329274],[-97.78514014329618,30.15867510723818],[-97.7742701630638,30.15932021628872],[-97.7742701630638,30.170794069557328],[-97.78514014329618,30.17014881329274]]]}"
,AUSTIN,9675054935418339328,2236.478934572596,2236.479,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.78514014329618,30.181621534244204],[-97.78514014329618,30.17014881329274],[-97.7742701630638,30.170794069557328],[-97.7742701630638,30.182266937606695],[-97.78514014329618,30.181621534244204]]]}"
,AUSTIN,9675055004137816064,5114.811434544163,5114.811,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.7742701630638,30.193738819272284],[-97.7742701630638,30.182266937606695],[-97.76340185489671,30.18291133722535],[-97.76340185489671,30.194383365638306],[-97.7742701630638,30.193738819272284]]]}"
,AUSTIN,9675055038497554432,8769.888815669286,8769.889,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.78514014329618,30.19309326892803],[-97.78514014329618,30.181621534244204],[-97.7742701630638,30.182266937606695],[-97.7742701630638,30.193738819272284],[-97.78514014329618,30.19309326892803]]]}"
,AUSTIN,9675055072857292800,11550.094667640356,11550.095,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.78514014329618,30.204564016180388],[-97.78514014329618,30.19309326892803],[-97.7742701630638,30.193738819272284],[-97.7742701630638,30.20520971339025],[-97.78514014329618,30.204564016180388]]]}"
,AUSTIN,9675055107217031168,12224.929110950468,12224.929,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.7742701630638,30.20520971339025],[-97.7742701630638,30.193738819272284],[-97.76340185489671,30.194383365638306],[-97.76340185489671,30.205854406387655],[-97.7742701630638,30.20520971339025]]]}"
,AUSTIN,9675055141576769536,12331.967032348612,12331.967,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.76340185489671,30.205854406387655],[-97.76340185489671,30.194383365638306],[-97.75253521988041,30.19502690839136],[-97.75253521988041,30.20649809553799],[-97.76340185489671,30.205854406387655]]]}"
,AUSTIN,9675055175936507904,7598.036108018086,7598.036,202509,deployment,"{""type"":""Polygon"",""coordinates"":[[[-97.76340185489671,30.194383365638306],[-97.76340185489671,30.18291133722535],[-97.75253521988041,30.18355473346533],[-97.75253521988041,30.19502690839136],[-97.76340185489671,30.194383365638306]]]}"
