month,resident_feedback
2023-07,4
2023-08,4
2023-09,13
2023-10,4
2024-06,1
2024-07,1
2024-08,5
2024-09,1
2024-10,1
2024-11,1
2024-12,1
2025-01,2
2025-02,1
2025-03,3
2025-04,1
2025-05,10
2025-06,6
2025-07,4
2025-08,3
2025-09,9
2025-10,7
2025-11,5
2025-12,10
2026-01,4
2026-02,4
2026-03,6
2026-04,9
2026-05,9
2026-06,4
2026-07,1
2026-08,7
2026-09,9
